LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,ave_opinion,agent1_posi,agent1_negi,agent1_poss,agent1_negs,agent2_posi,agent2_negi,agent2_poss,agent2_negs,agent3_posi,agent3_negi,agent3_poss,agent3_negs,agent4_posi,agent4_negi,agent4_poss,agent4_negs,agent5_posi,agent5_negi,agent5_poss,agent5_negs,agent6_posi,agent6_negi,agent6_poss,agent6_negs,rumor,truth,ave_Ip,ave_In,ave_Sp,ave_Sn,max_Ip,max_In,max_Sp,max_Sn
DeepSeek-V3.2,1,-4,1,1,11,FALSE,polar,0,0,0,0,-0.833333333,0,1.666666667,0,0,0,0,0,-0.833333333,0,0,-0.833333333,0,0,0,-0.833333333,0,1.666666667,0,0,0,2,6,0.277777778,0.277777778,-0.277777778,-0.277777778,1.666666667,1.666666667,0,0
DeepSeek-V3.2,1,-3,1,1,11,FALSE,polar,-0.666666667,0,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3.333333333,0,0,6,1,0,0.555555556,0,-0.555555556,0,3.333333333,0,0
DeepSeek-V3.2,1,-2,1,2,11,FALSE,polar,-0.333333333,0,0,-0.694444444,0,0.694444444,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,2.5,0,0,6,2,0.115740741,0.416666667,-0.115740741,-0.416666667,0.694444444,2.5,0,0
DeepSeek-V3.2,1,-1,1,1,11,FALSE,polar,-0.333333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0.833333333,0,0,0,0,0,-0.833333333,0,0,0,0,-0.833333333,0,2.5,0,0,6,3,0.138888889,0.416666667,-0.138888889,-0.416666667,0.833333333,2.5,0,0
DeepSeek-V3.2,1,0,1,1,11,FALSE,polar,-0.666666667,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,0,0,0,0,-0.833333333,0,3.333333333,0,0,6,4,0,0.555555556,0,-0.555555556,0,3.333333333,0,0
DeepSeek-V3.2,1,1,0,10,11,FALSE,-1_0_1,0.333333333,0,0,0,0,0.659456495,0,0,0,0,0,-0.161505583,0,0,0,0,0,0.080752791,0,-0.578703704,0,0,0,0,0,1,2,0.123368214,0,-0.123368214,0,0.659456495,0,0,0
DeepSeek-V3.2,1,2,0,8,11,FALSE,polar,0.333333333,0,0.833333333,0,0,0,0,-0.232568039,0,0.911507948,0,0,0,0,0,0,-0.833333333,0.07752268,0,-0.279081647,0,0.217063503,0,-0.694444444,0,1,3,0.201015689,0.138888889,-0.201015689,-0.138888889,0.911507948,0.833333333,0,0
DeepSeek-V3.2,1,3,0,6,11,FALSE,polar,0.666666667,0,0,0,0,0.315205976,0,-0.833333333,0,0,0,-0.334897977,0,1.981872642,0,0,0,0.315205976,0,-0.833333333,0,0.083724494,0,-0.694444444,0,1,4,0.449334848,0,-0.449334848,0,1.981872642,0,0,0
DeepSeek-V3.2,1,4,0,2,11,FALSE,-1_0_1,0.5,0,0,0,0,0,0,-0.694444444,0,0,0,0,0,0,0,-0.694444444,0,1.527777778,0,0,0,0.694444444,0,-0.833333333,0,1,5,0.37037037,0,-0.37037037,0,1.527777778,0,0,0
DeepSeek-V3.2,1,5,0,6,11,FALSE,polar,0.666666667,0,0,0,0,0,0,-0.334897977,0,0.244475523,0,-0.578703704,0,0.533827375,0,-0.694444444,0,0.083724494,0,-0.482253086,0,1.228271819,0,0,0,1,6,0.348383202,0,-0.348383202,0,1.228271819,0,0,0
DeepSeek-V3.2,1,6,0,10,11,FALSE,-1_0_1,0.166666667,0.914086125,0,0,0,0,0.694444444,0,0,0.080752791,0,-0.833333333,0,0,0,0,-0.694444444,0,0,-0.161505583,0,0,0,0,0,2,1,0.165806486,0.115740741,-0.165806486,-0.115740741,0.914086125,0.694444444,0,0
DeepSeek-V3.2,1,7,0,4,11,FALSE,-1_0_1,0.5,0,0,0,0,0,0,0,0,1.144547325,0,0,0,0,0,-0.482253086,0,0.160751029,0,-0.578703704,0,0.450102881,0,-0.694444444,0,2,3,0.292566872,0,-0.292566872,0,1.144547325,0,0,0
DeepSeek-V3.2,1,8,0,6,11,FALSE,-1_0_1,0.5,0.111632659,0,-0.401877572,0,0,0,0,0,0,0,-0.334897977,0,1.145904778,0,0,0,0.312571445,0,-0.833333333,0,0,0,0,0,2,4,0.261684814,0,-0.261684814,0,1.145904778,0,0,0
DeepSeek-V3.2,1,9,0,10,11,FALSE,-1_0_1,0.5,0.401057417,0,-0.833333333,0,0,0,0,0,0,0,-0.161505583,0,0.053835194,0,-0.694444444,0,1.23439075,0,0,0,0,0,0,0,2,5,0.281547227,0,-0.281547227,0,1.23439075,0,0,0
DeepSeek-V3.2,1,10,0,9,11,FALSE,-1_0_1,0.5,0.064602233,0,-0.694444444,0,0,0,0,0,0,0,0,0,0.411824455,0,-0.833333333,0,0,0,-0.193806699,0,1.245157789,0,0,0,2,6,0.286930746,0,-0.286930746,0,1.245157789,0,0,0
